Composer---Artist Pair,No of tracks they have produced together
De Beauport/Jagger/Richards-----The Rolling Stones,1
"Deacon, John/May, Brian-----Queen",1
Deacon/May/Mercury/Taylor-----Metallica,1
Deaffy & R.A. Smith-Diesel-----Accept,1
"Dean Brown, Dennis Chambers & Jim Beard-----Dennis Chambers",1
Dean Deleo-----Stone Temple Pilots,1
Deanna Brown/Deidra Jenkins/Yamma Brown-----James Brown,1
"Delroy ""Chris"" Cooper, Donovan Jackson, Earl Chinna Smith, Felix Howard, Gordon Williams, Luke Smith, Paul Watson & Wilburn Squiddley Cole-----Amy Winehouse",1
Derrick McKenzie/Jay Kay/Toby Smith-----Jamiroquai,1
Diamond/Shermann-----Metallica,1
Dick Holler-----Marvin Gaye,1
Dickinson/Smith-----Iron Maiden,1
"Dito/Djalma Falcao/Ilha, Almir Da/Márcio André-----Various Artists",1
Di´Anno/Harris-----Iron Maiden,1
"Djavan - Gabriel, O Pensador-----Djavan",1
"Do Vale, João/Luiz Wanderley-----Tim Maia",1
"Do Vale, Valverde/Gal Oliveira/Luciano Pinto-----Various Artists",1
Dolores Duran-----Milton Nascimento,1
"Domenil/J. Brito/Joaozinho/Rap, Marcelo Do-----Various Artists",1
Dominguinhos/Gilberto Gil-----Gilberto Gil,1
Donato/Gilberto Gil-----Marcos Valle,1
"Douglas/Neves, Vicente Das/Silva, Gilmar L./Toninho Gentil/Wantuir-----Various Artists",1
Dudu Nobre/Zeca Pagodinho-----Zeca Pagodinho,1
Dudu Nobre-----Zeca Pagodinho,1
Duff McKagan-----Guns N' Roses,1
Dufort/Johnson/McAuliffe/Williams-----Motörhead,1
"Dylan, Bob-----U2",1
E. Schrody/J. Vasquez/L. Dimant-----House Of Pain,1
E. Schrody/L. Dimant/L. Muggerud-----House Of Pain,1
E. Schrody/L. Freese/L. Muggerud-----House Of Pain,1
E. Schrody/L. Muggerud/R. Medrano-----House Of Pain,1
E. Shrody-----Santana,1
"Eale-Eye Cherry, M. Simpson, J. King & M. Nishita-----Santana",1
Eddie Casillas/Roy Z-----Bruce Dickinson,1
Eddie Cochran/Jerry Capehart-----BackBeat,1
Eddie Vedder & Stone Gossard-----Pearl Jam,1
Eddie Vedder/Jeff Ament/Matt Cameron/Mike McCready/Stone Gossard-----Pearl Jam,1
Edvard Grieg-----Berliner Philharmoniker & Herbert Von Karajan,1
Edward Elgar-----Barry Wordsworth & BBC Concert Orchestra,1
"Edward Elgar-----Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",1
Emerson Villani-----Funk Como Le Gusta,1
"Enotris Johnson/Little Richard/Robert ""Bumps"" Blackwell-----BackBeat",1
Erasmo Carlos/Roberto Carlos-----Titãs,1
"Eric Clapton, Jim Gordon-----Eric Clapton",1
"Eric Clapton, Robert Cray-----Eric Clapton",1
"Eric Clapton, Will Jennings-----Eric Clapton",1
Erik Satie-----Charles Dutoit & L'Orchestre Symphonique de Montréal,1
Eugene McDaniel-----Eric Clapton,1
Eurreal Montgomery-----Buddy Guy,1
"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman-----Accept",1
"F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman-----Accept",1
F. Olivera-----Santana,1
Faithfull/Jagger/Richards-----The Rolling Stones,1
Fausto Fawcett/Samuel Rosa-----Skank,1
Fausto Nilo - Armandinho-----Caetano Veloso,1
Fausto Nilo/Moraes Moreira/Pepeu Gomes-----Cidade Negra,1
Fayyaz Virgi/Richard Bull-----Incognito,1
Fito Paez/Herbert Vianna-----Os Paralamas Do Sucesso,1
Flavio Bororo/Paulo Apparicio/Wagner Alves/Zeca Sereno-----Various Artists,1
Folclore-----Milton Nascimento,1
Franz Joseph Haydn-----Royal Philharmonic Orchestra & Sir Thomas Beecham,1
"Franz Schubert-----Britten Sinfonia, Ivor Bolton & Lesley Garrett",1
Franz Schubert-----Emerson String Quartet,1
Fred Wesley/James Brown/Joseph Mims-----James Brown,1
Fred Wesley/James Brown-----James Brown,1
Freddie Mercury & John Deacon-----Queen,1
Freddie Mercury-----Queen,1
"Freddy James, Jimmy hogarth & Larry Stock-----Amy Winehouse",1
"Frédéric Chopin-----Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",1
Full Force/James Brown-----James Brown,1
Fábio Nolasco/Gal Sales/Ivan Brasil-----Various Artists,1
G Harvey/R Hope-Taylor-----Incognito,1
"Gabriel Fauré-----Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",1
Galley-----Lenny Kravitz,1
"Garay, Ricardo Engels/Luca Predabom/Ludwig, Carlos Henrique/Maurício Vieira-----Various Artists",1
"Gelder, Nick van-----Jamiroquai",1
"Gene Simmons, Stephen Coronel-----Kiss",1
Genival Cassiano/Silvio Rochael-----Tim Maia,1
Genival Cassiano-----Tim Maia,1
George Duke-----Billy Cobham,1
George Frideric Handel-----Academy of St. Martin in the Fields & Sir Neville Marriner,1
George Frideric Handel-----English Concert & Trevor Pinnock,1
George Frideric Handel-----Scholars Baroque Ensemble,1
"Georges Bizet-----Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",1
Gerry DeVeaux/Terry Britten-----Lenny Kravitz,1
"Giacomo Puccini-----Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker",1
Giacomo Puccini-----Luciano Pavarotti,1
Gilberto Gil - Caetano Veloso-----Os Mutantes,1
Gilberto Gil-----Cidade Negra,1
Gilberto Gil-----Marisa Monte,1
Gillan/Glover/Lord/Nix - Blackmore/Paice-----Deep Purple,1
Gillan/Glover/Lord/Paice-----Deep Purple,1
"Gilmour, Mason, Wright, Waters-----Pink Floyd",1
"Gilmour, Waters-----Pink Floyd",1
Gilson Mendonça/Michel-----Tim Maia,1
Giovanni Pierluigi da Palestrina-----Choir Of Westminster Abbey & Simon Preston,1
"Giuseppe Verdi-----Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti",1
Gonzaga Jr/Gonzaguinha-----Gonzaguinha,1
Gonzaga Jr-----Gonzaguinha,1
Gonzaguinha-----Gonzaguinha,1
Graham Harvey-----Incognito,1
Grazielle/Roque Ferreira-----Zeca Pagodinho,1
Greg Macainsh-----Paul D'Ianno,1
"Gregorio Allegri-----Richard Marlow & The Choir of Trinity College, Cambridge",1
Guga/Marquinho Lessa/Tuninho Professor-----Various Artists,1
"Guio De Morais E Seus ""Parentes""/Luiz Gonzaga-----Gilberto Gil",1
Gule/Jorge 101/Lequinho/Luiz Piao-----Various Artists,1
Gustav Holst-----Eugene Ormandy,1
Gustav Mahler-----Gustav Mahler,1
Harris/Di Anno-----Iron Maiden,1
Harry Lawes/Winston Foster-Vers-----Cidade Negra,1
Hawkins-Lewis-Broadwater-----Creedence Clearwater Revival,1
Heath/Robinson-----Motörhead,1
Hector Berlioz-----Michael Tilson Thomas & San Francisco Symphony,1
"Hendrix, Jimi-----U2",1
Henry Hirsch/Lenny Kravitz-----Lenny Kravitz,1
Henry Kirssch/Lenny Kravitz/S. Pasch A. Krizan-----Lenny Kravitz,1
"Henry Purcell-----Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir",1
"Henry Purcell-----Roger Norrington, London Classical Players",1
Henryk Górecki-----Adrian Leaper & Doreen de Feis,1
Herbert Vianna/Paulo Sérgio Valle-----Os Paralamas Do Sucesso,1
Herbert Vianna/Tet Tillett-----Os Paralamas Do Sucesso,1
Herbert Vianna/Tetê Tillet-----Os Paralamas Do Sucesso,1
Herbert Vianna-----Cidade Negra,1
"Hetfield, Ulrich, Newsted-----Metallica",1
Holocaust-----Metallica,1
Hyldon-----Jota Quest,1
"I. Toure, S. Tidiane Toure, Carlos Santana & K. Perazzo-----Santana",1
Ian Stewart/John Bonham/John Paul Jones/Mrs. Valens/Robert Plant-----Led Zeppelin,1
Igor Stravinsky-----Berliner Philharmoniker & Herbert Von Karajan,1
"Ira Gershwin, Kurt Weill-----Miles Davis",1
Isham Jones & Marty Symes-----Amy Winehouse,1
Ivan Kral/Patti Smith-----U2,1
Ivy Hunter/Stevie Wonder-----Marvin Gaye,1
"Ivy Hunter/William ""Mickey"" Stevenson-----Marvin Gaye",1
Ivy Jo Hunter/Marvin Gaye/William Stevenson-----Van Halen,1
Izzy Stradlin'-----Guns N' Roses,1
J. B. Lenoir/Willie Dixon-----Led Zeppelin,1
"J. Purdell, M. Inez, O. Osbourne, R. Castillo & Z. Wylde-----Ozzy Osbourne",1
"J.J. Johnson/R. Troup, L. Worth-----Miles Davis",1
J.J. Johnson-----Miles Davis,1
J.r.Bertami/Parana-----Marcos Valle,1
Jack Yellen/Milton Ager-----Van Halen,1
Jagger/Richards/Oldham-----The Rolling Stones,1
James Brown & Bobby Byrd-----Dennis Chambers,1
James Brown/Johnny Terry-----James Brown,1
James Brown/Tim Maia-----Os Paralamas Do Sucesso,1
James Hetfield & Lars Ulrich-----Metallica,1
"James Hetfield, Lars Ulrich & Jason Newsted-----Metallica",1
"James Hetfield, Lars Ulrich and Cliff Burton-----Metallica",1
"James Hetfield, Lars Ulrich and Jason Newsted-----Metallica",1
James Hetfield-----Metallica,1
James Iha-----Smashing Pumpkins,1
Jauperi/Zeu Góes-----Various Artists,1
Jay Hawkins-----Creedence Clearwater Revival,1
Jean Sibelius-----Berliner Philharmoniker & Hans Rosbaud,1
Jeff Ament & Eddie Vedder-----Pearl Jam,1
Jeff Ament & Stone Gossard & Jack Irons & Mike McCready & Eddie Vedder-----Pearl Jam,1
Jeff Ament/Mike McCready/Stone Gossard-----Pearl Jam,1
"Jerry Cantrell, Michael Starr, Layne Staley-----Alice In Chains",1
"Jerry Cantrell, Michael Starr, Sean Kinney-----Alice In Chains",1
Jerry Lynn Williams-----Eric Clapton,1
Jerry Ragavoy-----The Rolling Stones,1
Jesse Ed Davis III/Taj Mahal-----The Rolling Stones,1
Jesse Fuller-----Eric Clapton,1
Jim Beard & Jon Herington-----Dennis Chambers,1
Jimmy Cox-----Eric Clapton,1
Jimmy Forrest/Lewis C. Simpkins/Oscar Washington-----James Brown,1
Jimmy Page & Robert Plant-----Led Zeppelin,1
"Jimmy Page, Robert Plant, John Bonham, John Paul Jones-----Led Zeppelin",1
"Jimmy Page, Robert Plant, John Bonham-----Led Zeppelin",1
"Jimmy Page, Robert Plant, John Paul Jones, John Bonham, Memphis Minnie-----Led Zeppelin",1
Jimmy Page/John Bonham/John Estes/John Paul Jones/Robert Plant-----Led Zeppelin,1
Jimmy Page/John Bonham/John Paul Jones/Robert Plant/Willie Dixon-----Led Zeppelin,1
Jimmy Page/John Paul Jones-----Led Zeppelin,1
Jimmy Page/Led Zeppelin-----Led Zeppelin,1
Jimmy Page/Robert Johnson/Robert Plant-----Led Zeppelin,1
Jimmy and Vella Cameron-----Lenny Kravitz,1
Johann Pachelbel-----English Concert & Trevor Pinnock,1
"Johann Sebastian Bach-----Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",1
"Johann Sebastian Bach-----Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer",1
Johann Sebastian Bach-----Julian Bream,1
Johann Sebastian Bach-----Orchestra of The Age of Enlightenment,1
Johann Sebastian Bach-----Ton Koopman,1
Johann Sebastian Bach-----Wilhelm Kempff,1
Johann Sebastian Bach-----Yo-Yo Ma,1
Johann Strauss II-----Eugene Ormandy,1
John Adams-----Edo de Waart & San Francisco Symphony,1
"John Bonham, John Paul Jones, Jimmy Page-----Led Zeppelin",1
John Bonham/John Paul Jones/Robert Plant/Willie Dixon-----Led Zeppelin,1
John Brim-----Van Halen,1
John Deacon-----Queen,1
John Dowland-----Fretwork,1
John Entwistle-----The Who,1
"John Lennon, Paul McCartney-----Milton Nascimento",1
John Paul Jones & Robert Plant-----Led Zeppelin,1
"John Paul Jones, Jimmy Page & Robert Plant-----Led Zeppelin",1
"John Scofield, Robert Aries, Milton Chambers and Gary Grainger-----Dennis Chambers",1
John Scofield-----Dennis Chambers,1
John and William Valentine-----Lenny Kravitz,1
Jon Herington-----Dennis Chambers,1
Jon Hudson/Mike Bordin/Mike Patton-----Faith No More,1
Jon Hudson/Mike Patton-----Faith No More,1
Jones/Sirotto/Smith-----Metallica,1
Jorge Aragão/Zeca Pagodinho-----Zeca Pagodinho,1
Jorge Ben-----Caetano Veloso,1
Jorge Ben-----Marcos Valle,1
Jorge Cardoso/Pierre Onasis-----Various Artists,1
Jorge Vercilo/Jota Maranhao-----Marcos Valle,1
Julian Crampton-----Incognito,1
KC Porter & JB Eckl-----Santana,1
Karol Szymanowski-----Martin Roscoe,1
Karsh Kale/Vishal Vaid-----Karsh Kale,1
Karsh Kale-----Karsh Kale,1
Keith Richards/Mick Jagger-----The Tea Party,1
Kenny Gamble and Leon Huff-----Lenny Kravitz,1
Kevin Robinson/Richard Bull-----Incognito,1
Kevin Robinson-----Incognito,1
Killing Joke-----Metallica,1
Kretz/R. DeLeo/Weiland-----Stone Temple Pilots,1
Kurt Weill-----Kent Nagano and Orchestre de l'Opéra de Lyon,1
L. Delibes-----Miles Davis,1
L. Hill-----Santana,1
"L. Kerslake, O. Osbourne, R. Daisley & R. Rhoads-----Ozzy Osbourne",1
"L. Kilmister, O. Osbourne & Z. Wylde-----Ozzy Osbourne",1
"Lennon, John/McCartney, Paul-----U2",1
Lenny Kravitz/Slash-----Lenny Kravitz,1
"Leão, Rodrigo F./Lô Borges/Samuel Rosa-----Skank",1
"Leão, Rodrigo F./Samuel Rosa-----Skank",1
Little Richard-----BackBeat,1
Lowman Pauling-----James Brown,1
Luca Gusella-----Aisha Duo,1
Luciana Souza-----Luciana Souza/Romero Lubambo,1
Lucina/Luli-----Various Artists,1
Ludwig van Beethoven-----Antal Doráti & London Symphony Orchestra,1
Ludwig van Beethoven-----Maurizio Pollini,1
Ludwig van Beethoven-----Nicolaus Esterhazy Sinfonia,1
Ludwig van Beethoven-----Orchestre Révolutionnaire et Romantique & John Eliot Gardiner,1
Ludwig van Beethoven-----Otto Klemperer & Philharmonia Orchestra,1
Luiz Carlos/Oberdan-----Marcos Valle,1
Luiz Gonzaga/Zé Dantas-----Gilberto Gil,1
Luiz Melodia/Ricardo Augusto-----Marcos Valle,1
Luiz Wanderley/Paulo Levi-----Various Artists,1
Luke Smith-----Amy Winehouse,1
Lulu Santos-----Cidade Negra,1
Lulu Santos-----Marisa Monte,1
"Lô Borges, Fernando Brant-----Milton Nascimento",1
"Lô Borges, Márcio Borges, Fernando Brant-----Milton Nascimento",1
M. Itaal Shur & Rob Thomas-----Santana,1
M.Babatunde Olantunji-----Santana,1
"Mabins, Macie/Magee, Sterling/Robinson, Bobby-----U2",1
Macelo Yuka/O Rappa-----Marcos Valle,1
Manuca/Raimundinho DoAcordion/Targino Godim-----Gilberto Gil,1
Marc-Antoine Charpentier-----Les Arts Florissants & William Christie,1
Marco Tulio Lara/Rogerio Flausino-----Jota Quest,1
Marcos Valle-----Marcos Valle,1
Marisa Monte/poema de Octavio Paz/versão: Haroldo de Campos-----Marisa Monte,1
Mark Ronson-----Amy Winehouse,1
Marley-----Eric Clapton,1
Marsden/Moody-----Lenny Kravitz,1
Marsden-----Lenny Kravitz,1
"Mason, Waters, Wright, Gilmour-----Pink Floyd",1
"Mason/Waters, Gilmour, Wright-----Pink Floyd",1
Matt Cameron & Mike McCready-----Pearl Jam,1
Matt Rowe & Stefan Skarbek-----Amy Winehouse,1
Mauro Diniz/Ratino Sigem-----Zeca Pagodinho,1
Maxton Gig Beesley Jnr.-----Incognito,1
McKinley Morgenfield (Muddy Waters)-----Eric Clapton,1
Michael Jackson-----Chris Cornell,1
Mick Hucknall and Lamont Dozier-----Lenny Kravitz,1
Mick Hucknall and Neil Moss-----Lenny Kravitz,1
"Mick Jagger, Keith Richard-----Kiss",1
Mick Jones/Traditional arr. Joe Strummer-----The Clash,1
Mike Dirnt -Words Green Day -Music-----Green Day,1
Mike Dirnt/Tré Cool-----Green Day,1
Mike McCready & Stone Gossard-----Pearl Jam,1
Mike McCready-----Pearl Jam,1
"Miles Davis, Gil Evans-----Miles Davis",1
"Milton Nascimento, Márcio Borges-----Milton Nascimento",1
Milton Nascimento-----Milton Nascimento,1
Moody-----Lenny Kravitz,1
Morais-----Marisa Monte,1
Murilão-----Zeca Pagodinho,1
Murray  Dave-----Iron Maiden,1
Mutantes-----Os Mutantes,1
N. Cester-----JET,1
Nando Reis/Samuel Rosa-----Skank,1
Nando Reis-----Marcos Valle,1
Nanker Phelge-----The Rolling Stones,1
Ned Fairchild-----BackBeat,1
Nei Lopes/Wilson Moreira-----Zeca Pagodinho,1
Neil Young-----Pearl Jam,1
Nelson Angelo-----Milton Nascimento,1
Niccolò Paganini-----Itzhak Perlman,1
Nickolas Ashford & Valerie Simpson-----Amy Winehouse,1
Nikolai Rimsky-Korsakov-----Chicago Symphony Orchestra & Fritz Reiner,1
"O. Osbourne, R. Daisley, R. Rhoads, L. Kerslake-----Ozzy Osbourne",1
O. Osbourne-----Ozzy Osbourne,1
Orestes Barbosa-Sílvio Caldas-----Os Mutantes,1
Os Mutantes - Arnolpho Lima Filho-----Os Mutantes,1
"Page, Jones-----Dread Zeppelin",1
Patrick Claher/Richard Bull-----Incognito,1
Paul O'duffy-----Amy Winehouse,1
"Paul Stanley, B. Ezrin, K. Fowley-----Kiss",1
"Paul Stanley, B. Ezrin-----Kiss",1
"Paul Stanley, Bob Ezrin, Kim Fowley-----Kiss",1
"Paul Stanley, Gene Simmons, B. Ezrin-----Kiss",1
"Paul Stanley, Gene Simmons, Bob Ezrin, Lewis Reed-----Kiss",1
"Paul Stanley, Gene Simmons, Rus Ballard, Bob Ezrin-----Kiss",1
"Paul Stanley, Vincent Cusano-----Kiss",1
"Paul Stanley, Vincent Poncia, Desmond Child-----Kiss",1
Paulinho Rezende/Toninho Geraes-----Zeca Pagodinho,1
Paulo Levi/W. Rangel-----Various Artists,1
Pearl Jam & Eddie Vedder-----Pearl Jam,1
Peninha-----Caetano Veloso,1
"Pete Townshend, Roger Daltrey-----The Who",1
"Peter Criss, Stan Penridge, Bob Ezrin-----Kiss",1
Peter Ilyich Tchaikovsky-----London Symphony Orchestra & Sir Charles Mackerras,1
Philip Glass-----Philip Glass Ensemble,1
"Pietro Antonio Locatelli-----Mela Tenenbaum, Pro Musica Prague & Richard Kapp",1
Pietro Mascagni-----James Levine,1
Queen & David Bowie-----Queen,1
R. Carless-----Incognito,1
R. Rhoads-----Ozzy Osbourne,1
"R. Taha, Carlos Santana & T. Lindsay-----Santana",1
"R. Troup, L. Worth-----Miles Davis",1
Ralph Vaughan Williams-----Academy of St. Martin in the Fields & Sir Neville Marriner,1
Ratinho/Zeca Pagodinho-----Zeca Pagodinho,1
Renato Russo - Marcelo Bonfá-----Legião Urbana,1
Renato Russo - Marisa Monte-----Legião Urbana,1
Renato Russo-----Os Paralamas Do Sucesso,1
Richard Poindexter & Robert Poindexter-----Amy Winehouse,1
Richard Wagner-----Sir Georg Solti & Wiener Philharmoniker,1
"Richie Blackmore, Ian Gillian, Roger Glover, Ian Paice-----Deep Purple",1
Rick Strauss-----Spyro Gyra,1
Rita Lee - Arnaldo Baptista - Sérgio Baptista-----Os Mutantes,1
Robert Geddins/Ron Badger/Sheldon Feinberg-----Buddy Guy,1
Robert Johnson-----Red Hot Chili Peppers,1
Robert Plant & John Paul Jones-----Led Zeppelin,1
"Robert Rogers/Warren ""Pete"" Moore/William ""Mickey"" Stevenson-----Marvin Gaye",1
"S. Penridge, Bob Ezrin, Peter Criss-----Kiss",1
Samuel Barber-----Leonard Bernstein & New York Philharmonic,1
Santana-----Santana,1
Seger-----Metallica,1
Sergei Prokofiev-----Sergei Prokofiev & Yuri Temirkanov,1
Slash/W. Axl Rose-----Guns N' Roses,1
"Smokey Robinson/Warren ""Pete"" Moore-----Marvin Gaye",1
Sonny Boy Williamson [I]-----Buddy Guy,1
Sonny Curtis-----The Clash,1
Soundgarden-----Soundgarden,1
South-----Deep Purple,1
"Steven Tyler, Desmond Child-----Aerosmith",1
"Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw-----Aerosmith",1
"Steven Tyler, Joe Perry, Jim Vallance, Holly Knight-----Aerosmith",1
"Steven Tyler, Joe Perry, Jim Vallance-----Aerosmith",1
"Steven Tyler, Joe Perry, Mark Hudson-----Aerosmith",1
"Steven Tyler, Joe Perry-----Aerosmith",1
"Steven Tyler, Richie Supa-----Aerosmith",1
"Steven Tyler, Tom Hamilton-----Aerosmith",1
Stevie Nicks-----Smashing Pumpkins,1
Stone Gossard & Eddie Vedder & Jeff Ament & Mike McCready-----Pearl Jam,1
Stuard Zender/Toby Smith-----Jamiroquai,1
Stuart Zender-----Jamiroquai,1
Sweet Savage-----Metallica,1
Sylvester Stewart-----Dennis Chambers,1
Sérgio Britto/Toni Bellotto-----Titãs,1
Ted Wright-----James Brown,1
Thomas Tallis-----The King's Singers,1
Toby Smith/Wallis Buchanan-----Jamiroquai,1
Tom Jobim - Newton Mendoça-----Caetano Veloso,1
Toni Bellotto-----Titãs,1
Toninho Horta-----Milton Nascimento,1
"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne-----Faith No More",1
Tradicional-----Caetano Veloso,1
Traditional-----Eric Clapton,1
Traditional-----Metallica,1
"Turner, Held, Greenwood-----Deep Purple",1
U2 & Daragh O'Toole-----U2,1
U2 & Van Dyke Parks-----U2,1
"U2; Bono & Edge, The-----U2",1
"U2; Edge, The-----U2",1
"W. Jean, J. Duplessis, Carlos Santana, K. Perazzo & R. Rekow-----Santana",1
W.Correa-----Santana,1
"Wagner Tiso, Milton Nascimento-----Milton Nascimento",1
"Waters, Wright-----Pink Floyd",1
Weill-Brecht-----The Doors,1
Whitfield-Strong-----Creedence Clearwater Revival,1
"William ""Mickey"" Stevenson-----Marvin Gaye",1
William Byrd-----The King's Singers,1
"Willie Dixon, C. Burnett-----The Doors",1
Willie Dixon-----Stevie Ray Vaughan & Double Trouble,1
Wolfgang Amadeus Mozart-----Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner,1
Wolfgang Amadeus Mozart-----Berliner Philharmoniker & Herbert Von Karajan,1
"Wolfgang Amadeus Mozart-----Berliner Philharmoniker, Claudio Abbado & Sabine Meyer",1
Wolfgang Amadeus Mozart-----Nash Ensemble,1
"Wolfgang Amadeus Mozart-----Sir Georg Solti, Sumi Jo & Wiener Philharmoniker",1
"Wright, Waters-----Pink Floyd",1
alan bergman/marilyn bergman/peggy lipton jones/quincy jones-----Frank Sinatra,1
antonio carlos jobim/norman gimbel/vinicius de moraes-----Frank Sinatra,1
bart howard-----Frank Sinatra,1
bert brecht/kurt weill/marc blitzstein-----Frank Sinatra,1
berthold kaempfert/charles singleton/eddie snyder-----Frank Sinatra,1
carl sigman/gilbert becaud/pierre leroyer-----Frank Sinatra,1
carolyn leigh/cy coleman-----Frank Sinatra,1
carson c. parks-----Frank Sinatra,1
claude françois/gilles thibault/jacques revaux/paul anka-----Frank Sinatra,1
dean kay thompson/kelly gordon-----Frank Sinatra,1
ervin drake-----Frank Sinatra,1
fred ebb/john kander-----Frank Sinatra,1
george gershwin/ira gershwin-----Frank Sinatra,1
hans bradtke/heinz meier/johnny mercer-----Frank Sinatra,1
henry mancini/johnny mercer-----Frank Sinatra,1
ian paice/jon lord-----Deep Purple,1
jim croce-----Frank Sinatra,1
lorenz hart/richard rodgers-----Frank Sinatra,1
orlando murden/ronald miller-----Frank Sinatra,1
rod mckuen-----Frank Sinatra,1
,0
