Composer---Artist Pair,No of tracks they have produced together
Bruce Dickinson/Janick Gers/Steve Harris-----Iron Maiden,5
Bruce Dickinson/Janick Gers-----Iron Maiden,5
David Coverdale-----David Coverdale,5
E. Schrody/L. Muggerud-----House Of Pain,5
Jay Kay/Toby Smith-----Jamiroquai,5
"Jimmy Page, Robert Plant, John Paul Jones-----Led Zeppelin",5
John Entwistle/Pete Townshend-----The Who,5
K.Hammett-----Metallica,5
"Mike Bordin, Billy Gould, Mike Patton, Trey Spruance-----Faith No More",5
Nikki Sixx-----Mötley Crüe,5
Paul Stanley-----Kiss,5
"Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord, Ian Paice-----Deep Purple",5
Steve Harris-----Paul D'Ianno,5
Bino Farias/Da Gama/Lazão/Toni Garrido-----Cidade Negra,4
"Blackmore, Glover, Turner, Lord, Paice-----Deep Purple",4
"Blackmore, Glover, Turner-----Deep Purple",4
Blaze Bayley/Janick Gers/Steve Harris-----Iron Maiden,4
Bolin/Coverdale-----Deep Purple,4
Bruce Dickinson/David Murray/Steve Harris-----Iron Maiden,4
Bruce Dickinson/Steve Harris-----Iron Maiden,4
C. Cester/N. Cester-----JET,4
Chris Cornell/Kim Thayil-----Soundgarden,4
Clapton-----Eric Clapton,4
David Coverdale/Earl Slick-----David Coverdale,4
"Dolmayan, John/Malakian, Daron/Odadjian, Shavo-----System Of A Down",4
Doyle Bramhall/Stevie Ray Vaughan-----Stevie Ray Vaughan & Double Trouble,4
"Edward Van Halen, Alex Van Halen, Michael Anthony,/Edward Van Halen, Alex Van Halen, Michael Anthony, Sammy Hagar-----Van Halen",4
Harris/Tatler-----Metallica,4
Humberto Teixeira/Luiz Gonzaga-----Gilberto Gil,4
J. Satriani-----Joe Satriani,4
"James Hetfield, Lars Ulrich, Dave Mustaine-----Metallica",4
Jay Kay-----Jamiroquai,4
Jeremy Wall-----Spyro Gyra,4
"Jerry Cantrell, Layne Staley-----Alice In Chains",4
"Jimmy Page, Robert Plant, John Paul Jones, John Bonham-----Led Zeppelin",4
Jimmy Page/Jimmy Page & Robert Plant/Robert Plant-----Led Zeppelin,4
Marvin Gaye-----Marvin Gaye,4
"May, Brian-----Queen",4
May-----Queen,4
Sykes-----Lenny Kravitz,4
Vandenberg-----Lenny Kravitz,4
W. Axl Rose-----Guns N' Roses,4
Willie Dixon-----Led Zeppelin,4
"A. F. Iommi, W. Ward, T. Butler, J. Osbourne-----Ozzy Osbourne",3
Adrian Smith; Bruce Dickinson; Steve Harris-----Iron Maiden,3
Adrian Smith-----Iron Maiden,3
Bruce Dickinson/David Murray-----Iron Maiden,3
Bruce Dickinson-----Iron Maiden,3
Bruce/Clapton-----Eric Clapton,3
Buddy Guy-----Buddy Guy,3
C. Cester/C. Muncey/N. Cester-----JET,3
C. Muncey/N. Cester-----JET,3
Carlinhos Brown-----Marisa Monte,3
Carlos Santana-----Santana,3
Clarke/Kilmister/Tayler-----Metallica,3
Coverdale-----Deep Purple,3
D.Coverdale/G.Hughes/Glenn Hughes/I.Paice/Ian Paice/J.Lord/John Lord/R.Blackmore/Ritchie Blackmore-----Deep Purple,3
D.Coverdale/R.Blackmore/Ritchie Blackmore-----Deep Purple,3
Da Gama/Toni Garrido-----Cidade Negra,3
Dave Abbruzzese & Jeff Ament & Stone Gossard & Mike McCready & Eddie Vedder-----Pearl Jam,3
Dave Grohl-----Foo Fighters,3
David Murray/Paul Di'Anno/Steve Harris-----Iron Maiden,3
Dickinson-----Iron Maiden,3
Eddie Vedder & Mike McCready-----Pearl Jam,3
Gilberto Gil-----Gilberto Gil,3
Gonzaga Jr.-----Gonzaguinha,3
Izzy Stradlin'/W. Axl Rose-----Guns N' Roses,3
James Brown-----James Brown,3
Jay Beckenstein-----Spyro Gyra,3
Jeff Ament/Stone Gossard-----Pearl Jam,3
"Jimmy Page, Robert Plant & John Paul Jones-----Led Zeppelin",3
Matt Cameron-----Pearl Jam,3
Mercury-----Queen,3
Mick Mars/Nikki Sixx/Tommy Lee/Vince Neil-----Mötley Crüe,3
Mick Mars/Nikki Sixx-----Mötley Crüe,3
Mike Patton-----Faith No More,3
"Milton Nascimento, Ronaldo Bastos-----Milton Nascimento",3
Nirvana-----Nirvana,3
Paul Di'Anno/Steve Harris-----Paul D'Ianno,3
"Paul Stanley, Gene Simmons-----Kiss",3
Smith/Dickinson-----Iron Maiden,3
"Steven Tyler, Joe Perry, Desmond Child-----Aerosmith",3
Waters-----Pink Floyd,3
Willie Dixon-----Buddy Guy,3
jimmy van heusen/sammy cahn-----Frank Sinatra,3
Ace Frehley-----Kiss,2
Adrian Smith-----Bruce Dickinson,2
